algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,425.444977,0.015820,0.131246,0.015820
Kyber512,426.951095,0.013625,0.126433,0.013625
Kyber512,427.097531,0.013439,0.119297,0.013439
Kyber512,427.151807,0.013855,0.122867,0.013855
Kyber512,427.432929,0.014565,0.150491,0.014565
Kyber512,427.324017,0.017344,0.128117,0.017344
Kyber512,426.026471,0.012437,0.136720,0.012437
Kyber512,425.517309,0.014537,0.129389,0.014537
Kyber512,426.437658,0.016805,0.122223,0.016805
Kyber512,425.979573,0.013927,0.124229,0.013927
Kyber512,427.051551,0.015274,0.129596,0.015274
Kyber512,426.203715,0.018388,0.129907,0.018388
Kyber512,426.269984,0.014207,0.125361,0.014207
Kyber512,427.309981,0.017324,0.147710,0.017324
Kyber512,426.606073,0.011985,0.128835,0.011985
Kyber512,426.139946,0.016454,0.141174,0.016454
Kyber512,426.113970,0.010462,0.156122,0.010462
Kyber512,442.006844,0.011482,0.160344,0.011482
Kyber512,426.294975,0.018883,0.123664,0.018883
Kyber512,425.503897,0.016272,0.141591,0.016272
Kyber512,426.358144,0.014956,0.138071,0.014956
Kyber512,426.259334,0.016605,0.132679,0.016605
Kyber512,426.280188,0.013651,0.148793,0.013651
Kyber512,426.622912,0.011741,0.126679,0.011741
Kyber512,426.500628,0.016468,0.127807,0.016468
Kyber512,427.180775,0.012434,0.125657,0.012434
Kyber512,427.024969,0.015146,0.122852,0.015146
Kyber512,426.023008,0.016279,0.128183,0.016279
Kyber512,427.161804,0.012739,0.156272,0.012739
Kyber512,427.442844,0.013771,0.125801,0.013771
Kyber512,425.890962,0.018290,0.139081,0.018290
Kyber512,425.289080,0.015434,0.116403,0.015434
Kyber512,427.061474,0.012482,0.143124,0.012482
Kyber512,425.373470,0.012882,0.121083,0.012882
Kyber512,426.172829,0.012787,0.123904,0.012787
Kyber512,426.549533,0.016384,0.130610,0.016384
Kyber512,426.884021,0.015578,0.135034,0.015578
Kyber512,426.511908,0.013133,0.134680,0.013133
Kyber512,426.272903,0.015307,0.144211,0.015307
Kyber512,427.092053,0.015959,0.129293,0.015959
Kyber512,426.990946,0.019415,0.131912,0.019415
Kyber512,426.652878,0.012756,0.128271,0.012756
Kyber512,425.763286,0.014443,0.152227,0.014443
Kyber512,427.005943,0.013485,0.134631,0.013485
Kyber512,427.297611,0.014104,0.127871,0.014104
Kyber512,427.197649,0.009474,0.146308,0.009474
Kyber512,426.260302,0.011959,0.180738,0.011959
Kyber512,426.706986,0.016958,0.158837,0.016958
Kyber512,425.917635,0.016509,0.144234,0.016509
Kyber512,426.615499,0.014298,0.138399,0.014298
Kyber512,426.122133,0.010366,0.137798,0.010366
Kyber512,427.137386,0.015295,0.124787,0.015295
Kyber512,425.945539,0.010928,0.127606,0.010928
Kyber512,425.634925,0.014627,0.141171,0.014627
Kyber512,426.177545,0.018108,0.127620,0.018108
Kyber512,425.564200,0.015095,0.120702,0.015095
Kyber512,426.223092,0.016466,0.141296,0.016466
Kyber512,426.378984,0.017112,0.124759,0.017112
Kyber512,427.409532,0.018883,0.144586,0.018883
Kyber512,425.866857,0.015847,0.139517,0.015847
Kyber512,427.365211,0.016261,0.123375,0.016261
Kyber512,427.266532,0.014744,0.123226,0.014744
Kyber512,426.334896,0.015449,0.116279,0.015449
Kyber512,427.463127,0.020466,0.134480,0.020466
Kyber512,425.959315,0.016959,0.137631,0.016959
Kyber512,426.045433,0.016556,0.173138,0.016556
Kyber512,426.016886,0.014894,0.120543,0.014894
Kyber512,427.564200,0.013307,0.131366,0.013307
Kyber512,427.027150,0.017359,0.133130,0.017359
Kyber512,426.503762,0.016734,0.120193,0.016734
Kyber512,426.650271,0.010506,0.127715,0.010506
Kyber512,426.482522,0.019600,0.123108,0.019600
Kyber512,427.283507,0.010282,0.141708,0.010282
Kyber512,427.138385,0.015931,0.126486,0.015931
Kyber512,426.145263,0.084795,0.152491,0.084795
Kyber512,426.606206,0.010508,0.161344,0.010508
Kyber512,427.195862,0.016623,0.146238,0.016623
Kyber512,425.329387,0.014093,0.126770,0.014093
Kyber512,426.868462,0.013680,0.118459,0.013680
Kyber512,426.846330,0.010905,0.136575,0.010905
Kyber512,426.261499,0.014227,0.125579,0.014227
Kyber512,426.398170,0.014058,0.191335,0.014058
Kyber512,426.256504,0.023885,0.119500,0.023885
Kyber512,426.797089,0.014670,0.138996,0.014670
