algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,641.368298,0.017245,0.143821,0.017245
Kyber512,639.821141,0.016757,0.148721,0.016757
Kyber512,640.593979,0.018012,0.133987,0.018012
Kyber512,641.158849,0.013656,0.117869,0.013656
Kyber512,639.636139,0.015692,0.161954,0.015692
Kyber512,640.935312,0.015749,0.158226,0.015749
Kyber512,640.952117,0.013692,0.510750,0.013692
Kyber512,638.360435,0.013573,0.163521,0.013573
Kyber512,639.972810,0.009655,0.126264,0.009655
Kyber512,638.582946,0.017417,0.122885,0.017417
Kyber512,641.197006,0.016520,0.138728,0.016520
Kyber512,638.695782,0.013085,0.118039,0.013085
Kyber512,639.734417,0.016330,0.159627,0.016330
Kyber512,641.633621,0.015587,0.140761,0.015587
Kyber512,640.448442,0.017038,0.133614,0.017038
Kyber512,640.076472,0.013592,0.117876,0.013592
Kyber512,642.158221,0.015246,0.151543,0.015246
Kyber512,640.566032,0.016274,0.140459,0.016274
Kyber512,641.417591,0.016304,0.150288,0.016304
Kyber512,638.611400,0.012203,0.140187,0.012203
Kyber512,640.538509,0.013046,0.138825,0.013046
Kyber512,640.620974,0.015421,0.159437,0.015421
Kyber512,640.333673,0.014224,0.164281,0.014224
Kyber512,640.966072,0.011181,0.151131,0.011181
Kyber512,640.399131,0.015301,0.158379,0.015301
Kyber512,641.724985,0.016719,0.135354,0.016719
Kyber512,638.262645,0.011491,0.136856,0.011491
Kyber512,640.477778,0.009380,0.142636,0.009380
Kyber512,640.344496,0.016162,0.145459,0.016162
Kyber512,641.218605,0.018250,0.124770,0.018250
Kyber512,641.262468,0.016204,0.136321,0.016204
Kyber512,639.051996,0.009558,0.133665,0.009558
Kyber512,641.120922,0.014885,0.137415,0.014885
Kyber512,641.232565,0.014365,0.130429,0.014365
Kyber512,640.512332,0.012794,0.129136,0.012794
Kyber512,639.241639,0.017400,0.136538,0.017400
Kyber512,641.083872,0.015945,0.128278,0.015945
Kyber512,640.949370,0.017349,0.123362,0.017349
Kyber512,640.114891,0.012469,0.134664,0.012469
Kyber512,639.421747,0.020634,0.121114,0.020634
Kyber512,641.366915,0.016514,0.124185,0.016514
Kyber512,641.248647,0.016196,0.144474,0.016196
Kyber512,640.858314,0.018571,0.178585,0.018571
Kyber512,640.035793,0.015369,0.106893,0.015369
Kyber512,639.824585,0.015452,0.163956,0.015452
Kyber512,638.597254,0.011419,0.126536,0.011419
Kyber512,641.417470,0.010160,0.130736,0.010160
Kyber512,641.708057,0.015983,0.120223,0.015983
Kyber512,639.893282,0.015993,0.137976,0.015993
Kyber512,641.164092,0.016851,0.157070,0.016851
Kyber512,641.278285,0.011447,0.132805,0.011447
Kyber512,641.049282,0.015407,0.141502,0.015407
Kyber512,640.760218,0.014449,0.124897,0.014449
Kyber512,639.700419,0.011371,0.118846,0.011371
Kyber512,638.654523,0.011573,0.155078,0.011573
Kyber512,638.815609,0.014124,0.137663,0.014124
Kyber512,641.150202,0.015347,0.125171,0.015347
Kyber512,640.146545,0.014424,0.140046,0.014424
Kyber512,640.216037,0.013254,0.229698,0.013254
Kyber512,640.162684,0.018258,0.117256,0.018258
Kyber512,639.434448,0.017228,0.122287,0.017228
Kyber512,641.280226,0.015140,0.151840,0.015140
Kyber512,641.101367,0.013066,0.139975,0.013066
Kyber512,640.129304,0.015482,0.139247,0.015482
Kyber512,640.786521,0.016900,0.133280,0.016900
Kyber512,640.347132,0.014118,0.142022,0.014118
Kyber512,641.964000,0.016641,0.132691,0.016641
Kyber512,640.177233,0.010669,0.128071,0.010669
Kyber512,641.109458,0.010816,0.128925,0.010816
Kyber512,642.312299,0.010419,0.125816,0.010419
Kyber512,640.556588,0.009983,0.138636,0.009983
Kyber512,641.286422,0.010521,0.120787,0.010521
Kyber512,639.704289,0.016160,0.126902,0.016160
Kyber512,639.601602,0.016339,0.129065,0.016339
Kyber512,640.057238,0.011696,0.133584,0.011696
Kyber512,641.126464,0.013312,0.147506,0.013312
Kyber512,641.383059,0.013288,0.125045,0.013288
Kyber512,640.593837,0.013302,0.162423,0.013302
Kyber512,640.814584,0.012713,0.131690,0.012713
Kyber512,641.434133,0.020879,0.127895,0.020879
Kyber512,638.429454,0.012793,0.129887,0.012793
Kyber512,640.905706,0.013504,0.129019,0.013504
Kyber512,639.846146,0.059521,0.135668,0.059521
Kyber512,639.451580,0.013184,0.124954,0.013184
Kyber512,640.609082,0.009625,0.124482,0.009625
Kyber512,639.973289,0.016812,0.116768,0.016812
Kyber512,641.782668,0.009886,0.114293,0.009886
Kyber512,639.990343,0.016536,0.123600,0.016536
Kyber512,641.539486,0.014499,0.147884,0.014499
Kyber512,640.527089,0.016647,0.119643,0.016647
Kyber512,639.467737,0.015479,0.172944,0.015479
Kyber512,641.485671,0.009677,0.268622,0.009677
Kyber512,640.073662,0.015445,0.199260,0.015445
Kyber512,640.882222,0.015143,0.115961,0.015143
Kyber512,640.060268,0.012453,0.154608,0.012453
Kyber512,639.714097,0.016203,0.140261,0.016203
Kyber512,640.121401,0.013887,0.121844,0.013887
Kyber512,641.129700,0.012863,0.134025,0.012863
Kyber512,641.441481,0.012461,0.128462,0.012461
Kyber512,641.065368,0.014471,0.137058,0.014471
Kyber512,638.923008,0.014630,0.123003,0.014630
Kyber512,641.425453,0.016643,0.115841,0.016643
Kyber512,641.119006,0.016831,0.126266,0.016831
Kyber512,639.414642,0.011492,0.117589,0.011492
Kyber512,640.494276,0.016328,0.138952,0.016328
Kyber512,639.993284,0.016484,0.137497,0.016484
Kyber512,640.461667,0.015556,0.162088,0.015556
Kyber512,639.260204,0.010067,0.157219,0.010067
Kyber512,641.369567,0.015305,0.159961,0.015305
Kyber512,640.202446,0.014665,0.128212,0.014665
Kyber512,641.349040,0.016375,0.129192,0.016375
Kyber512,640.538414,0.009370,0.149848,0.009370
Kyber512,640.102224,0.014888,0.131837,0.014888
Kyber512,640.153543,0.014665,0.129525,0.014665
Kyber512,639.811454,0.017801,0.126665,0.017801
Kyber512,640.511896,0.013374,0.117881,0.013374
Kyber512,639.149902,0.009608,0.139045,0.009608
Kyber512,640.331340,0.013150,0.134716,0.013150
Kyber512,639.962148,0.015537,0.119906,0.015537
Kyber512,641.489012,0.017879,0.133337,0.017879
Kyber512,639.645646,0.015429,0.121516,0.015429
Kyber512,641.591561,0.016732,0.122336,0.016732
Kyber512,646.072150,0.016225,0.146639,0.016225
Kyber512,639.840658,0.013250,0.137521,0.013250
Kyber512,640.037521,0.017190,0.132436,0.017190
Kyber512,639.575027,0.015966,0.129825,0.015966
Kyber512,640.334661,0.017502,0.134514,0.017502
Kyber512,641.542547,0.016800,0.136542,0.016800
Kyber512,639.917804,0.014780,0.136462,0.014780
Kyber512,640.862144,0.015024,0.125206,0.015024
Kyber512,640.008271,0.013086,0.134465,0.013086
Kyber512,639.988640,0.015329,0.126799,0.015329
Kyber512,641.097721,0.009610,0.122232,0.009610
Kyber512,641.233730,0.017380,0.137552,0.017380
Kyber512,639.657104,0.014092,0.181647,0.014092
Kyber512,641.164900,0.014336,0.132988,0.014336
Kyber512,641.462071,0.028930,0.142886,0.028930
Kyber512,639.934644,0.009109,0.141775,0.009109
Kyber512,641.314510,0.016118,0.125279,0.016118
Kyber512,642.137674,0.015850,0.148803,0.015850
Kyber512,638.805722,0.015750,0.151302,0.015750
Kyber512,639.726921,0.014311,0.120084,0.014311
Kyber512,640.524248,0.014598,0.129415,0.014598
Kyber512,640.207258,0.016131,0.126530,0.016131
Kyber512,638.585092,0.014950,0.124152,0.014950
Kyber512,640.203685,0.015133,0.127386,0.015133
