KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,215.141518,0.009432,0.238944
P256_Kyber512,P256_Dilithium2,214.325411,0.016155,0.177395
P256_Kyber512,P256_Dilithium2,215.074668,0.011086,0.175681
P256_Kyber512,P256_Dilithium2,214.221322,0.012669,0.162740
P256_Kyber512,P256_Dilithium2,214.303472,0.011338,0.191375
P256_Kyber512,P256_Dilithium2,214.503476,0.013917,0.169165
P256_Kyber512,P256_Dilithium2,215.007413,0.010360,0.159763
P256_Kyber512,P256_Dilithium2,214.507725,0.011433,0.157832
P256_Kyber512,P256_Dilithium2,214.737862,0.013184,0.187438
P256_Kyber512,P256_Dilithium2,214.665654,0.015270,0.161230
P256_Kyber512,P256_Dilithium2,215.117380,0.015204,0.162557
P256_Kyber512,P256_Dilithium2,215.413318,0.013525,0.184711
P256_Kyber512,P256_Dilithium2,214.235149,0.014424,0.159440
P256_Kyber512,P256_Dilithium2,214.803479,0.016559,0.172653
P256_Kyber512,P256_Dilithium2,215.511819,0.016051,0.152871
P256_Kyber512,P256_Dilithium2,214.513003,0.008937,0.153449
P256_Kyber512,P256_Dilithium2,257.472062,0.012720,0.191454
P256_Kyber512,P256_Dilithium2,214.590554,0.018643,0.172130
P256_Kyber512,P256_Dilithium2,214.147651,0.015575,0.153322
P256_Kyber512,P256_Dilithium2,214.627311,0.014927,0.164475
P256_Kyber512,P256_Dilithium2,214.277127,0.012778,0.291183
P256_Kyber512,P256_Dilithium2,214.128607,0.015245,0.168555
P256_Kyber512,P256_Dilithium2,215.093568,0.028697,0.170345
P256_Kyber512,P256_Dilithium2,214.309149,0.010623,0.194572
P256_Kyber512,P256_Dilithium2,214.924680,0.010145,0.186613
P256_Kyber512,P256_Dilithium2,215.329364,0.017376,0.169613
P256_Kyber512,P256_Dilithium2,215.399241,0.012889,0.182453
P256_Kyber512,P256_Dilithium2,214.860104,0.015167,0.169026
P256_Kyber512,P256_Dilithium2,214.731433,0.016645,0.182725
P256_Kyber512,P256_Dilithium2,214.748400,0.013693,0.206514
P256_Kyber512,P256_Dilithium2,214.951871,0.016847,0.170647
P256_Kyber512,P256_Dilithium2,214.955886,0.010307,0.160987
P256_Kyber512,P256_Dilithium2,214.469805,0.011924,0.168485
P256_Kyber512,P256_Dilithium2,214.802859,0.012532,0.170337
P256_Kyber512,P256_Dilithium2,214.667946,0.013882,0.191541
P256_Kyber512,P256_Dilithium2,214.971309,0.016650,0.156157
P256_Kyber512,P256_Dilithium2,214.424930,0.013108,0.174258
P256_Kyber512,P256_Dilithium2,214.574883,0.015609,0.157282
P256_Kyber512,P256_Dilithium2,214.120680,0.015153,0.165938
P256_Kyber512,P256_Dilithium2,214.848928,0.015475,0.164830
P256_Kyber512,P256_Dilithium2,214.793718,0.014820,0.173309
P256_Kyber512,P256_Dilithium2,214.011781,0.011984,0.155932
P256_Kyber512,P256_Dilithium2,214.573307,0.017008,0.170418
P256_Kyber512,P256_Dilithium2,214.941107,0.015113,0.154787
P256_Kyber512,P256_Dilithium2,216.597586,0.011527,0.151032
P256_Kyber512,P256_Dilithium2,214.196792,0.015029,0.153963
P256_Kyber512,P256_Dilithium2,214.204795,0.014435,0.155895
P256_Kyber512,P256_Dilithium2,214.462541,0.012246,0.168514
P256_Kyber512,P256_Dilithium2,214.827015,0.018536,0.177413
P256_Kyber512,P256_Dilithium2,214.196494,0.014775,0.183477
P256_Kyber512,P256_Dilithium2,215.033454,0.016773,0.177396
P256_Kyber512,P256_Dilithium2,214.677517,0.014910,0.205377
P256_Kyber512,P256_Dilithium2,215.580263,0.010024,0.173338
P256_Kyber512,P256_Dilithium2,214.765765,0.010957,0.179356
